Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Condition,Language,Purchase price currency,Added,Status,Last action,Last action at
"Daretti, Rocketeer Engineer",DFT,Aetherdrift,120,normal,rare,1,100067,be626e2f-1075-4497-bd5b-bd805777afd3,0.49,near_mint,en,USD,2026-09-12T02:28:13.632Z,in,,
Homunculus Horde,FDN,Foundations,41,normal,rare,1,100441,470c4d03-340a-4e0e-a59f-f19d05497785,1.99,near_mint,en,USD,2026-09-12T02:28:13.518Z,in,,
Temple of Deceit,FDN,Foundations,697,normal,rare,1,101244,e18748ce-e52e-4cd1-89d4-cd2578a0d574,0.75,near_mint,en,USD,2026-09-12T02:28:13.445Z,in,,
"Kellan, Planar Trailblazer",FDN,Foundations,91,normal,rare,1,101353,f46a9329-7b91-441d-8653-50c1152c9120,0.49,near_mint,en,USD,2026-09-12T02:28:13.246Z,in,,
Soulstone Sanctuary,PFDN,Foundations Promos,133s,foil,rare,1,101798,ee826988-0bd3-4bf4-84f9-a1a5fdfa2cbb,1.49,near_mint,en,USD,2026-09-12T02:28:13.202Z,in,,
Stock Up,DFT,Aetherdrift,67,normal,uncommon,1,102900,0a786855-6eb4-42c0-a528-4842db46809d,2.35,near_mint,en,USD,2026-09-12T02:28:13.564Z,in,,
Caves of Koilos,DRC,Aetherdrift Commander,148,normal,rare,1,102934,18e5a0d3-d132-40e2-85ae-a1b743dfdd33,1.25,near_mint,en,USD,2026-09-12T02:28:13.486Z,in,,
"Daretti, Rocketeer Engineer",DFT,Aetherdrift,358,foil,rare,1,102985,3993ac84-304a-4e42-aa39-b72be30471ea,0.99,near_mint,en,USD,2026-09-12T02:28:13.272Z,in,,
Lifecraft Engine,DFT,Aetherdrift,234,normal,rare,1,103003,40c92203-17df-4f10-92c6-ebcc79f01357,0.49,near_mint,en,USD,2026-09-12T02:28:13.637Z,in,,
Muraganda Raceway,DFT,Aetherdrift,257,normal,rare,1,103042,5041ae16-29ff-4ad5-8a37-4736e9409294,1.25,near_mint,en,USD,2026-09-12T02:28:13.636Z,in,,
Bleachbone Verge,DFT,Aetherdrift,250,normal,rare,1,103045,52dcdabd-a186-45fe-9fee-6c0f1afeaf16,13.99,near_mint,en,USD,2026-09-12T02:28:13.407Z,in,,
"Redshift, Rocketeer Chief",DFT,Aetherdrift,218,normal,rare,1,103071,5fba3820-32ba-47e9-9fa8-f985ff471b3f,0.49,near_mint,en,USD,2026-09-12T02:28:13.631Z,in,,
Conjurer's Closet,DRC,Aetherdrift Commander,126,normal,rare,1,103127,7e520d49-f3d5-46b3-a941-c57936648a47,4.99,near_mint,en,USD,2026-09-12T02:28:13.505Z,in,,
Cryptcaller Chariot,DFT,Aetherdrift,80,normal,rare,1,103201,a0c8259c-055e-4bff-b945-c0ecb057a8f0,0.75,near_mint,en,USD,2026-09-12T02:28:13.634Z,in,,
"Far Fortune, End Boss",DFT,Aetherdrift,363,normal,rare,1,103222,ae0bd239-25ae-496e-9be2-c2d968dc9346,0.49,near_mint,en,USD,2026-09-12T02:28:13.646Z,in,,
"Ketramose, the New Dawn",DFT,Aetherdrift,209,normal,mythic,2,103279,cffae8d0-7b4e-42ed-8124-24a86b38f490,4.99,near_mint,en,USD,2026-09-12T02:28:13.633Z,in,,
Lumbering Worldwagon,DFT,Aetherdrift,422,foil,rare,1,103420,06a85032-0c45-40f7-901a-3fd77ff212a4,0.75,near_mint,en,USD,2026-09-12T02:28:13.638Z,in,,
Unstoppable Plan,DFT,Aetherdrift,72,normal,rare,1,103598,aaeb5981-7e6a-4ffd-bb02-4757b2e92f08,2.35,near_mint,en,USD,2026-09-12T02:28:13.635Z,in,,
"Oviya, Automech Artisan",DFT,Aetherdrift,359,normal,rare,1,103628,c9b47651-5607-40b0-9e73-ad356b10acc9,1.25,near_mint,en,USD,2026-09-12T02:28:13.645Z,in,,
Sol Ring,SLD,Secret Lair Drop,910,foil,rare,1,103766,3e10052f-b3e5-4a2c-b268-9a12ce354eb9,6.99,near_mint,en,USD,2026-09-12T02:28:13.475Z,in,,
Fortified Village,TDC,Tarkir: Dragonstorm Commander,366,normal,rare,1,104617,4a0aeb3a-923a-4b97-9d27-ea7e0b57de75,0.49,near_mint,en,USD,2026-09-12T02:28:13.423Z,in,,
Access Tunnel,TDC,Tarkir: Dragonstorm Commander,337,normal,uncommon,1,104625,4bef5957-71a4-4fe0-b2ce-dff8e8690bd9,0.99,near_mint,en,USD,2026-09-12T02:28:13.470Z,in,,
Velomachus Lorehold,TDC,Tarkir: Dragonstorm Commander,309,normal,mythic,1,104646,523d8fe6-1efd-4278-82fe-ea4517e6665c,1.49,near_mint,en,USD,2026-09-12T02:28:13.285Z,in,,
Castle Ardenvale,TDC,Tarkir: Dragonstorm Commander,346,normal,rare,1,104698,65e4de2e-47d2-4967-be31-9df0057a9c74,0.49,near_mint,en,USD,2026-09-12T02:28:13.452Z,in,,
Whirlwind of Thought,TDC,Tarkir: Dragonstorm Commander,311,normal,rare,1,104703,67d032f9-4faf-42eb-86ba-3fadfea84a27,0.75,near_mint,en,USD,2026-09-12T02:28:13.591Z,in,,
Jeskai Revelation,TDM,Tarkir: Dragonstorm,361,normal,mythic,1,104741,7679a6a2-7704-4f37-9fdd-24414d411599,10.99,near_mint,en,USD,2026-09-12T02:28:13.327Z,in,,
Dismantling Wave,TDC,Tarkir: Dragonstorm Commander,112,normal,rare,1,104844,a06bc946-8625-4a87-8695-ecf236df95bc,0.75,near_mint,en,USD,2026-09-12T02:28:13.567Z,in,,
Canopy Vista,TDC,Tarkir: Dragonstorm Commander,343,normal,rare,1,104931,c2a85a8e-28bb-4899-a922-13a03dec844c,0.49,near_mint,en,USD,2026-09-12T02:28:13.426Z,in,,
Baral's Expertise,TDC,Tarkir: Dragonstorm Commander,146,normal,rare,1,104986,d5beecd5-4267-454d-87db-24d476e1f352,0.49,near_mint,en,USD,2026-09-12T02:28:13.588Z,in,,
Temple of Plenty,TDC,Tarkir: Dragonstorm Commander,405,normal,rare,1,105008,de1f7e5e-a503-4f99-91a1-2fdabb7d5e89,0.49,near_mint,en,USD,2026-09-12T02:28:13.424Z,in,,
Consider,TDC,Tarkir: Dragonstorm Commander,148,normal,common,1,105076,ff6f3824-3670-46e1-af43-0db405726084,0.75,near_mint,en,USD,2026-09-12T02:28:13.298Z,in,,
Aerith Gainsborough,FIN,Final Fantasy,4,normal,rare,1,105744,e86328b6-ded2-41df-8b6e-4a770e7b171e,2.99,near_mint,en,USD,2026-09-12T02:28:13.188Z,in,,
Lethal Scheme,FIC,Final Fantasy Commander,277,normal,rare,1,105806,0802be9f-686f-4321-afa4-d472241de653,0.49,near_mint,en,USD,2026-09-12T02:28:13.497Z,in,,
Skycloud Expanse,FIC,Final Fantasy Commander,423,normal,rare,1,105812,0972c465-0369-4ac2-9912-2898fad1bdba,0.49,near_mint,en,USD,2026-09-12T02:28:13.480Z,in,,
Exotic Orchard,FIC,Final Fantasy Commander,390,normal,rare,1,105912,47c2b572-b54a-444c-8d74-b005e94d751f,0.75,near_mint,en,USD,2026-09-12T02:28:13.481Z,in,,
Crux of Fate,FIC,Final Fantasy Commander,275,normal,rare,1,105926,4d507db6-29a6-4816-8e37-5b6e318d740f,1.05,near_mint,en,USD,2026-09-12T02:28:13.570Z,in,,
Cleansing Nova,FIC,Final Fantasy Commander,235,normal,rare,1,106012,81096eba-ad0a-4fa8-8d56-5a1ea9a9155b,0.49,near_mint,en,USD,2026-09-12T02:28:13.496Z,in,,
Blitzball Stadium,FIC,Final Fantasy Commander,111,foil,rare,1,106052,931c1983-f606-4dc2-8d0b-3a7160ee0d06,1.25,near_mint,en,USD,2026-09-12T02:28:13.198Z,in,,
Desolate Mire,FIC,Final Fantasy Commander,386,normal,rare,1,106085,a0ecbdad-aebf-421d-a71e-e112f8c0e4bb,0.65,near_mint,en,USD,2026-09-12T02:28:13.473Z,in,,
Void Rend,FIC,Final Fantasy Commander,331,normal,rare,1,106125,b1fe4252-f5f8-405a-82c4-2c7b35e7e7fb,0.99,near_mint,en,USD,2026-09-12T02:28:13.249Z,in,,
Cut a Deal,FIC,Final Fantasy Commander,238,normal,uncommon,1,106127,b42f5488-949f-434a-a9cf-c98e070d6a7f,0.99,near_mint,en,USD,2026-09-12T02:28:13.578Z,in,,
Darkwater Catacombs,FIC,Final Fantasy Commander,384,normal,rare,1,106141,bcb5a670-7c8f-4b76-82c6-c89abffbb4bd,0.49,near_mint,en,USD,2026-09-12T02:28:13.444Z,in,,
